Rótulos de Linha;Soma de Quantity;Soma de Tax 5%;Soma de Total;Soma de Unit price;Soma de cogs;Soma de gross margin percentage;Soma de gross income;Soma de Rating
101-17-6199;7;16,0265;336,5565;45,79;320,53;4,761904762;16,0265;7
A;7;16,0265;336,5565;45,79;320,53;4,761904762;16,0265;7
Yangon;7;16,0265;336,5565;45,79;320,53;4,761904762;16,0265;7
Normal;7;16,0265;336,5565;45,79;320,53;4,761904762;16,0265;7
Male;7;16,0265;336,5565;45,79;320,53;4,761904762;16,0265;7
Food and beverages;7;16,0265;336,5565;45,79;320,53;4,761904762;16,0265;7
3/13/2019;7;16,0265;336,5565;45,79;320,53;4,761904762;16,0265;7
19;7;16,0265;336,5565;45,79;320,53;4,761904762;16,0265;7
101-81-4070;2;6,282;131,922;62,82;125,64;4,761904762;6,282;4,9
C;2;6,282;131,922;62,82;125,64;4,761904762;6,282;4,9
Naypyitaw;2;6,282;131,922;62,82;125,64;4,761904762;6,282;4,9
Member;2;6,282;131,922;62,82;125,64;4,761904762;6,282;4,9
Female;2;6,282;131,922;62,82;125,64;4,761904762;6,282;4,9
Health and beauty;2;6,282;131,922;62,82;125,64;4,761904762;6,282;4,9
1/17/2019;2;6,282;131,922;62,82;125,64;4,761904762;6,282;4,9
12;2;6,282;131,922;62,82;125,64;4,761904762;6,282;4,9
102-06-2002;5;6,3125;132,5625;25,25;126,25;4,761904762;6,3125;6,1
C;5;6,3125;132,5625;25,25;126,25;4,761904762;6,3125;6,1
Naypyitaw;5;6,3125;132,5625;25,25;126,25;4,761904762;6,3125;6,1
Member;5;6,3125;132,5625;25,25;126,25;4,761904762;6,3125;6,1
Male;5;6,3125;132,5625;25,25;126,25;4,761904762;6,3125;6,1
Sports and travel;5;6,3125;132,5625;25,25;126,25;4,761904762;6,3125;6,1
3/20/2019;5;6,3125;132,5625;25,25;126,25;4,761904762;6,3125;6,1
17;5;6,3125;132,5625;25,25;126,25;4,761904762;6,3125;6,1
102-77-2261;7;22,8585;480,0285;65,31;457,17;4,761904762;22,8585;4,2
C;7;22,8585;480,0285;65,31;457,17;4,761904762;22,8585;4,2
Naypyitaw;7;22,8585;480,0285;65,31;457,17;4,761904762;22,8585;4,2
Member;7;22,8585;480,0285;65,31;457,17;4,761904762;22,8585;4,2
Male;7;22,8585;480,0285;65,31;457,17;4,761904762;22,8585;4,2
Health and beauty;7;22,8585;480,0285;65,31;457,17;4,761904762;22,8585;4,2
03/05/2019;7;22,8585;480,0285;65,31;457,17;4,761904762;22,8585;4,2
18;7;22,8585;480,0285;65,31;457,17;4,761904762;22,8585;4,2
105-10-6182;2;2,148;45,108;21,48;42,96;4,761904762;2,148;6,6
A;2;2,148;45,108;21,48;42,96;4,761904762;2,148;6,6
Yangon;2;2,148;45,108;21,48;42,96;4,761904762;2,148;6,6
Member;2;2,148;45,108;21,48;42,96;4,761904762;2,148;6,6
Male;2;2,148;45,108;21,48;42,96;4,761904762;2,148;6,6
Fashion accessories;2;2,148;45,108;21,48;42,96;4,761904762;2,148;6,6
2/27/2019;2;2,148;45,108;21,48;42,96;4,761904762;2,148;6,6
12;2;2,148;45,108;21,48;42,96;4,761904762;2,148;6,6
105-31-1824;7;24,332;510,972;69,52;486,64;4,761904762;24,332;8,5
A;7;24,332;510,972;69,52;486,64;4,761904762;24,332;8,5
Yangon;7;24,332;510,972;69,52;486,64;4,761904762;24,332;8,5
Member;7;24,332;510,972;69,52;486,64;4,761904762;24,332;8,5
Male;7;24,332;510,972;69,52;486,64;4,761904762;24,332;8,5
Sports and travel;7;24,332;510,972;69,52;486,64;4,761904762;24,332;8,5
02/01/2019;7;24,332;510,972;69,52;486,64;4,761904762;24,332;8,5
15;7;24,332;510,972;69,52;486,64;4,761904762;24,332;8,5
106-35-6779;2;4,434;93,114;44,34;88,68;4,761904762;4,434;5,8
A;2;4,434;93,114;44,34;88,68;4,761904762;4,434;5,8
Yangon;2;4,434;93,114;44,34;88,68;4,761904762;4,434;5,8
Member;2;4,434;93,114;44,34;88,68;4,761904762;4,434;5,8
Male;2;4,434;93,114;44,34;88,68;4,761904762;4,434;5,8
Home and lifestyle;2;4,434;93,114;44,34;88,68;4,761904762;4,434;5,8
3/27/2019;2;4,434;93,114;44,34;88,68;4,761904762;4,434;5,8
11;2;4,434;93,114;44,34;88,68;4,761904762;4,434;5,8
109-28-2512;6;29,283;614,943;97,61;585,66;4,761904762;29,283;9,9
B;6;29,283;614,943;97,61;585,66;4,761904762;29,283;9,9
Mandalay;6;29,283;614,943;97,61;585,66;4,761904762;29,283;9,9
Member;6;29,283;614,943;97,61;585,66;4,761904762;29,283;9,9
Female;6;29,283;614,943;97,61;585,66;4,761904762;29,283;9,9
Fashion accessories;6;29,283;614,943;97,61;585,66;4,761904762;29,283;9,9
01/07/2019;6;29,283;614,943;97,61;585,66;4,761904762;29,283;9,9
15;6;29,283;614,943;97,61;585,66;4,761904762;29,283;9,9
109-86-4363;7;21,028;441,588;60,08;420,56;4,761904762;21,028;4,5
B;7;21,028;441,588;60,08;420,56;4,761904762;21,028;4,5
Mandalay;7;21,028;441,588;60,08;420,56;4,761904762;21,028;4,5
Member;7;21,028;441,588;60,08;420,56;4,761904762;21,028;4,5
Female;7;21,028;441,588;60,08;420,56;4,761904762;21,028;4,5
Sports and travel;7;21,028;441,588;60,08;420,56;4,761904762;21,028;4,5
